W,GA,SA,SV,SV_PCT,GAA,SO,MIN,PIM
324,2290,23299,21009,0.902,2.96,38,46442,310
0,6,47,41,0.872,6,0,60,0
31,391,2767,2379,0.86,4.2,1,5589,17
79,416,4066,3650,0.898,2.58,16,9668,8
26,296,2741,2445,0.892,3.44,4,5156,12
170,1246,11164,9918,0.888,3.21,16,23255,126
3,38,353,315,0.892,3.63,0,628,0
110,419,5161,4742,0.919,2.08,25,12085,24
0,3,12,9,0.75,4.5,0,40,0
4,62,583,521,0.894,2.95,0,1262,2
6,66,672,606,0.902,2.93,0,1350,0
149,1116,9530,8414,0.883,3.49,10,19172,18
91,845,6197,5352,0.864,4.16,2,12202,35
3,28,260,232,0.892,3.46,0,486,0
0,0,2,2,1,0,0,3,0
73,468,4931,4463,0.905,2.79,7,10059,4
0,0,8,8,1,0,0,24,0
2,15,139,124,0.892,3.25,0,277,0
139,874,8625,7751,0.899,2.77,15,18927,147
82,778,5448,4764,0.874,3.64,3,12826,51
0,2,17,15,0.882,2.79,0,43,0
96,516,5484,4968,0.906,2.69,17,11527,37
4,51,509,458,0.9,2.92,1,1047,0
0,3,35,32,0.914,3.16,0,57,0
11,100,56,47,0.839,3.78,0,1588,11
146,594,7079,6485,0.916,2.35,12,15177,10
3,20,165,145,0.879,3.68,0,326,0
0,0,3,3,1,0,0,11,0
2,32,324,292,0.901,3.32,0,579,22
8,99,701,602,0.859,4.41,0,1346,2
171,1051,10897,9846,0.904,2.69,26,23478,68
1,12,115,103,0.896,2.45,0,294,0
17,123,1363,1240,0.91,2.75,3,2681,0
7,20,325,305,0.938,1.84,1,653,0
3,41,255,214,0.839,4.86,0,506,0
0,3,25,22,0.88,3.6,0,50,0
2,28,246,218,0.886,3.87,0,434,2
112,982,10044,9062,0.902,3.02,16,19526,32
1,9,93,84,0.903,3.16,0,171,0
2,12,149,137,0.919,2.42,0,298,2
23,193,1944,1751,0.901,3.24,3,3579,8
2,33,258,225,0.872,3.67,0,540,2
60,898,1253,1072,0.856,4.24,2,12695,24
130,871,8915,8044,0.902,2.87,16,18199,129
6,67,560,493,0.88,3.32,0,1212,2
1,10,113,103,0.912,2.64,0,227,0
0,3,23,20,0.87,4,0,45,0
0,4,43,39,0.907,3.33,0,72,0
19,173,1407,1234,0.877,3.7,1,2807,4
0,0,10,10,1,0,0,23,0
18,97,1131,1034,0.914,2.65,0,2196,0
96,572,6635,6063,0.914,2.69,14,12739,10
0,1,4,3,0.75,3.53,0,17,0
0,1,8,7,0.875,2.07,0,29,0
141,989,10701,9712,0.908,2.74,19,21653,16
208,1449,3215,2783,0.866,3.32,16,26181,42
0,3,19,16,0.842,3.1,0,58,0
25,377,2536,2159,0.851,4.59,1,4931,24
140,620,7041,6421,0.912,2.44,30,15265,0
87,522,5551,5029,0.906,2.78,15,11247,6
145,693,7380,6687,0.906,2.71,16,15364,79
39,343,3730,3387,0.908,2.95,4,6985,2
1,9,55,46,0.836,4.5,0,120,0
18,120,1337,1217,0.91,2.55,2,2827,2
78,464,4616,4152,0.899,2.75,10,10139,65
423,2563,622,534,0.859,2.92,76,52585,31
173,1270,12105,10835,0.895,3.15,18,24215,26
0,5,31,26,0.839,4.76,0,63,0
4,65,611,546,0.894,3.31,0,1180,6
26,161,1682,1521,0.904,2.79,4,3465,0
143,775,8803,8028,0.912,2.5,15,18580,40
22,251,2445,2194,0.897,3.14,2,4799,4
0,13,87,74,0.851,4.7,0,166,0
164,1114,11079,9965,0.899,3.07,16,21785,38
113,953,9202,8249,0.896,3.12,8,18329,85
27,348,3093,2745,0.887,3.51,5,5941,6
321,1459,16478,15019,0.911,2.58,37,33882,48
3,61,362,301,0.831,6.31,0,580,0
0,20,149,129,0.866,4.69,0,256,0
0,0,1,1,1,0,0,5,0
7,34,265,231,0.872,3.27,0,623,2
2,28,234,206,0.88,3.48,1,483,2
0,0,3,3,1,0,0,19,0
0,16,80,64,0.8,7.38,0,130,0
128,694,5738,5103,0.889,3.1,13,13451,90
403,2756,21873,19403,0.887,3.38,25,48945,114
0,7,43,36,0.837,4.37,0,96,0
4,67,515,448,0.87,3.74,0,1076,4
0,6,28,22,0.786,10.29,0,35,0
22,229,1837,1608,0.875,3.61,1,3804,22
0,12,74,62,0.838,5.18,0,139,0
10,73,634,561,0.885,3.45,2,1271,0
144,865,8938,8073,0.903,2.83,20,18342,28
68,837,1001,844,0.843,4.27,1,11763,41
0,0,2,2,1,0,0,3,0
113,566,6349,5783,0.911,2.63,10,12920,30
16,59,739,680,0.92,2.42,2,1462,0
262,1423,16325,14902,0.913,2.53,38,33717,98
2,101,593,492,0.83,5.6,0,1082,0
91,801,6228,5427,0.871,3.74,6,12857,42
1,29,151,122,0.808,6.26,0,278,0
97,574,5612,5038,0.898,2.79,12,12363,51
0,4,17,13,0.765,12,0,20,0
36,191,2226,2035,0.914,2.45,3,4674,4
1,3,58,55,0.948,1.53,1,118,0
7,42,553,511,0.924,2.44,0,1032,0
1,2,38,36,0.947,2,0,60,0
19,122,1024,902,0.881,3.74,1,1958,4
1,10,104,94,0.904,2.26,0,265,0
60,392,3956,3564,0.901,2.89,6,8134,10
166,1361,13873,12512,0.902,2.9,26,28125,62
4,67,709,642,0.906,3.11,0,1291,0
180,747,8994,8247,0.917,2.38,35,18793,10
14,31,513,482,0.94,1.85,2,1006,0
167,1561,8474,7499,0.885,3.6,13,26037,237
60,327,3984,3657,0.918,2.45,10,7995,6
389,1572,20220,18648,0.922,2.2,81,42837,170
0,6,24,18,0.75,7.06,0,51,0
143,1242,9112,7959,0.873,3.72,8,20025,95
166,1361,12058,10697,0.887,3.37,13,24256,93
191,1307,14400,13093,0.909,2.81,28,27889,22
161,977,9918,8941,0.901,2.82,22,20758,96
0,5,38,33,0.868,4.69,0,64,0
14,159,565,482,0.853,4.05,2,2356,6
0,0,2,2,1,0,0,7,0
146,1579,2654,2332,0.879,3.7,10,25608,89
296,1723,16366,14643,0.895,2.97,23,34750,584
184,872,10405,9533,0.916,2.5,22,20952,2
34,301,2895,2594,0.896,3.13,4,5775,8
29,359,3598,3239,0.9,3.31,5,6509,14
17,134,1250,1116,0.893,2.76,4,2910,6
4,22,179,157,0.877,3.59,0,368,2
2,25,121,102,0.843,4.03,0,372,0
0,17,53,43,0.811,4.95,0,206,0
48,262,2389,2127,0.89,2.99,3,5264,6
0,0,5,5,1,0,0,29,0
97,396,4990,4594,0.921,2.44,19,9722,9
0,1,3,2,0.667,30,0,2,0
173,782,9281,8499,0.916,2.42,20,19407,20
34,262,2129,1867,0.877,3.73,0,4217,2
271,2174,20328,18154,0.893,3.43,17,38084,173
129,625,7216,6591,0.913,2.46,24,15260,10
29,176,1867,1691,0.906,2.61,6,4041,19
22,89,1049,960,0.915,2.36,2,2261,0
26,135,1460,1325,0.908,2.62,2,3095,2
20,266,2177,1911,0.878,4.05,1,3941,6
218,1513,15033,13520,0.899,2.83,33,32066,90
3,36,367,331,0.902,3.25,0,664,0
28,413,3411,2998,0.879,3.74,1,6634,13
0,2,25,23,0.92,3,0,40,0
43,432,3259,2827,0.867,4.15,2,6250,44
95,557,2796,2462,0.881,3.35,8,9974,44
15,95,786,691,0.879,3.81,2,1496,2
140,744,7717,6973,0.904,2.63,14,16978,52
28,125,1450,1325,0.914,2.41,3,3112,0
16,59,786,727,0.925,1.95,7,1812,0
454,2516,26795,24279,0.906,2.79,51,54054,126
1,54,351,297,0.846,5.02,0,645,2
5,60,630,570,0.905,2.79,0,1292,0
96,666,3902,3423,0.877,3.51,4,11388,53
0,0,2,2,1,0,0,9,0
333,2071,22329,20258,0.907,2.72,46,45609,134
41,196,2457,2261,0.92,2.35,4,5007,4
140,1014,10237,9223,0.901,2.84,19,21426,36
0,3,16,13,0.813,2.95,0,61,0
5,32,392,360,0.918,2.47,0,778,0
319,1500,17114,15614,0.912,2.49,44,36169,47
0,14,109,95,0.872,4.4,0,191,2
0,4,32,28,0.875,3.12,0,77,0
7,44,363,319,0.879,3.74,0,706,2
1,56,406,350,0.862,3.96,0,849,0
3,20,178,158,0.888,3.24,0,370,2
303,1885,20118,18233,0.906,2.71,35,41671,107
0,1,6,5,0.833,2.86,0,21,2
2,15,118,103,0.873,4.33,0,208,0
0,3,9,6,0.667,9,0,20,0
26,135,1496,1361,0.91,2.49,5,3258,0
2,16,130,114,0.877,3.18,0,302,2
62,457,4933,4476,0.907,2.85,6,9615,10
3,36,323,287,0.889,3.44,0,628,2
0,7,47,40,0.851,4.29,0,98,2
22,123,1089,966,0.887,2.8,4,2636,8
30,174,2052,1878,0.915,2.44,5,4277,2
2,4,85,81,0.953,1.42,1,169,0
25,354,2689,2335,0.868,4.22,2,5032,65
0,0,9,9,1,0,0,24,0
200,1085,11370,10285,0.905,2.58,35,25241,58
2,13,108,95,0.88,3.24,0,241,0
3,68,474,406,0.857,4.33,0,943,0
160,978,164,133,0.811,3.33,17,17615,18
0,9,59,50,0.847,3.55,0,152,0
0,18,143,125,0.874,4.04,0,267,2
19,228,321,266,0.829,4.65,0,2942,6
1,28,253,225,0.889,4.24,0,396,0
1,1,22,21,0.955,1,0,60,0
61,453,4698,4245,0.904,2.89,10,9406,8
187,809,9151,8342,0.912,2.41,24,20140,12
30,230,2676,2446,0.914,2.88,2,4788,6
248,1313,15269,13956,0.914,2.68,32,29349,32
35,285,2876,2591,0.901,2.97,4,5755,6
236,1613,10238,9051,0.884,3.46,12,28006,109
1,10,99,89,0.899,3.17,0,189,0
5,61,540,479,0.887,3.43,0,1067,0
92,843,160,134,0.838,3.74,9,13529,30
1,18,191,173,0.906,2.98,0,363,0
37,264,2739,2475,0.904,2.84,3,5582,2
87,503,3094,2742,0.886,3.3,7,9150,10
0,6,37,31,0.838,3.87,0,93,10
0,14,68,54,0.794,5.96,0,141,0
294,2221,11260,9917,0.881,3.49,25,38215,22
1,25,174,149,0.856,4.2,0,357,0
102,1463,1761,1515,0.86,4.28,4,20502,45
334,1369,17218,15849,0.92,2.27,55,36255,12
399,2057,25439,23382,0.919,2.5,68,49398,38
44,367,3748,3381,0.902,3,2,7331,8
0,8,91,83,0.912,2.41,0,199,0
4,140,1059,919,0.868,4.36,0,1928,0
141,1100,8995,7980,0.887,3.47,12,19030,134
1,15,94,79,0.84,6.43,0,140,2
1,15,127,112,0.882,3.98,0,226,0
14,177,1720,1543,0.897,3.1,1,3430,0
43,297,2992,2695,0.901,2.7,7,6610,4
13,137,1315,1178,0.896,3.18,0,2581,0
55,500,4146,3646,0.879,3.76,1,7988,6
137,754,8324,7570,0.909,2.66,23,17004,12
148,890,9875,8985,0.91,2.72,26,19648,20
21,343,530,451,0.851,4.11,6,5007,6
1,31,193,162,0.839,5.11,0,364,2
8,68,697,629,0.902,2.76,2,1476,0
1,4,33,29,0.879,2.96,0,81,0
40,305,3211,2906,0.905,2.94,4,6226,2
0,3,15,12,0.8,5.14,0,35,0
5,68,610,542,0.889,3.48,1,1173,0
0,2,8,6,0.75,6,0,20,0
245,1904,16882,14978,0.887,3.26,22,35090,58
80,617,6036,5419,0.898,2.68,13,13834,54
129,995,5932,5192,0.875,3.63,6,16452,109
270,2756,5321,4657,0.875,3.64,20,45401,111
26,409,1689,1449,0.858,4.24,2,5794,43
0,5,27,22,0.815,4.35,0,69,0
0,0,14,14,1,0,0,18,0
215,2281,10190,8921,0.875,3.87,17,35377,72
322,1518,17861,16343,0.915,2.58,35,35255,24
1,3,36,33,0.917,3,0,60,0
64,705,1304,1099,0.843,4.06,4,10428,47
7,70,81,66,0.815,4.29,0,979,2
42,267,2862,2595,0.907,2.7,5,5942,8
372,2097,17424,15546,0.892,3.13,28,40151,230
11,67,519,452,0.871,3.28,0,1226,2
6,81,746,665,0.891,3.25,0,1496,0
18,74,875,801,0.915,2.32,4,1912,0
4,51,451,400,0.887,3.3,1,927,2
0,0,9,9,1,0,0,36,0
13,167,1578,1411,0.894,3.32,1,3014,61
4,161,1140,979,0.859,5.23,0,1846,4
1,47,330,283,0.858,4.96,0,568,0
353,1630,18398,16768,0.911,2.44,59,40152,118
0,7,29,22,0.759,6,0,70,2
66,422,4776,4354,0.912,2.73,7,9258,2
188,780,9254,8474,0.916,2.4,32,19521,6
95,645,6599,5954,0.902,2.95,5,13113,6
9,67,660,593,0.898,3.05,1,1319,2
1,18,163,145,0.89,3.27,0,330,0
23,163,1642,1479,0.901,2.68,3,3652,4
35,243,2409,2166,0.899,2.79,5,5235,6
48,338,3519,3181,0.904,2.87,5,7059,39
0,61,433,372,0.859,4.28,0,855,0
8,30,324,294,0.907,2.33,1,774,0
401,1768,18629,16861,0.905,2.49,50,42564,137
2,34,350,316,0.903,3.08,1,663,2
149,1183,986,837,0.849,3.53,17,20131,118
27,287,2438,2151,0.882,4.05,0,4252,6
7,82,697,615,0.882,3.15,1,1561,4
23,235,2245,2010,0.895,2.79,2,5045,21
0,4,20,16,0.8,5.45,0,44,0
132,902,9696,8794,0.907,2.89,13,18755,10
0,1,13,12,0.923,1.67,0,36,0
246,1424,7499,6616,0.882,3.08,21,27699,212
1,23,161,138,0.857,3.9,0,354,0
35,313,2226,1913,0.859,3.62,1,5194,17
25,223,2243,2020,0.901,3.08,3,4349,8
6,35,511,476,0.932,2.35,0,895,0
0,5,12,7,0.583,7.5,0,40,0
46,490,3845,3355,0.873,4.12,1,7141,36
1,27,173,146,0.844,4.35,0,372,0
0,1,14,13,0.929,1.33,0,45,0
266,1694,17864,16170,0.905,2.76,32,36765,82
18,140,1392,1252,0.899,3.07,0,2735,0
220,1026,12763,11737,0.92,2.43,34,25337,37
31,114,1246,1132,0.909,2.36,3,2898,0
179,1204,11680,10476,0.897,3.03,19,23819,48
0,3,12,9,0.75,4.5,0,40,0
209,891,10488,9597,0.915,2.28,37,23442,30
20,88,999,911,0.912,2.41,3,2189,0
26,196,1632,1436,0.88,3.5,2,3357,6
0,12,101,89,0.881,3.13,0,230,2
0,0,9,9,1,0,0,27,0
43,320,3354,3034,0.905,2.92,4,6576,16
240,2042,18269,16227,0.888,3.41,15,35936,65
133,536,7286,6750,0.926,2.16,26,14876,16
113,732,7339,6607,0.9,2.89,9,15191,14
0,2,20,18,0.9,3,0,40,0
8,72,628,556,0.885,3.47,1,1246,4
46,443,3487,3044,0.873,3.71,0,7162,20
53,529,4381,3852,0.879,3.66,5,8667,30
73,447,5087,4640,0.912,2.91,11,9218,6
231,1761,4232,3670,0.867,3.27,26,32279,68
99,820,8105,7285,0.899,2.84,12,17339,34
301,1840,19219,17379,0.904,2.89,24,38183,34
85,573,4786,4213,0.88,3.3,5,10423,14
153,1135,4789,4209,0.879,3.43,11,19872,41
204,848,10537,9689,0.92,2.34,36,21711,36
227,1552,16942,15390,0.908,2.72,29,34297,96
46,471,3800,3347,0.881,3.97,4,7111,6
1,0,12,12,1,0,0,28,0
77,555,5299,4744,0.895,3.12,7,10665,33
551,2546,28353,25807,0.91,2.54,66,60235,262
1,0,10,10,1,0,0,30,0
0,14,90,76,0.844,4.18,0,201,0
18,139,1363,1224,0.898,2.87,2,2901,4
0,6,40,34,0.85,5.37,0,67,0
210,1296,13591,12295,0.905,2.55,37,30436,67
0,26,192,166,0.865,5.17,0,302,2
47,333,3472,3139,0.904,2.72,6,7354,4
1,20,139,119,0.856,4.12,0,291,4
182,1377,5494,4812,0.876,3.48,8,23711,57
10,93,832,739,0.888,3.45,0,1616,23
5,11,138,127,0.92,1.88,1,352,2
0,6,25,19,0.76,4.68,0,77,0
97,421,5701,5280,0.926,2.14,17,11785,4
42,360,3474,3114,0.896,2.89,6,7476,53
0,9,47,38,0.809,4.32,0,125,0
8,91,707,616,0.871,3.77,0,1450,2
0,3,10,7,0.7,7.2,0,25,0
42,325,3548,3223,0.908,2.82,7,6912,20
80,507,1735,1505,0.867,3.21,5,9485,94
0,4,40,36,0.9,3.69,0,65,0
80,606,6510,5904,0.907,2.67,10,13630,78
62,480,4722,4242,0.898,2.89,8,9966,14
1,3,51,48,0.941,1.48,0,122,0
79,832,6470,5638,0.871,3.6,8,13881,20
2,1,45,44,0.978,0.5,1,119,0
12,100,935,840,0.898,3.46,2,1732,2
51,326,3078,2752,0.894,2.73,6,7162,6
305,2031,5989,5284,0.882,3.17,22,38431,489
160,972,11039,10067,0.912,2.67,27,21856,91
135,925,9298,8373,0.901,2.8,16,19837,190
45,496,4265,3769,0.884,3.63,10,8189,13
110,1030,2908,2521,0.867,3.97,6,15583,68
49,451,845,711,0.841,3.71,2,7295,2
7,92,810,718,0.886,3.51,1,1572,4
20,86,1066,980,0.919,2.17,4,2381,4
1,11,100,89,0.89,3.13,0,211,0
67,818,586,503,0.858,4.06,2,12075,10
21,209,1892,1683,0.89,3.81,1,3295,22
115,1068,7106,6187,0.871,3.92,5,16333,200
1,29,248,219,0.883,3.49,0,499,0
85,488,5317,4829,0.908,2.54,16,11512,26
0,3,6,3,0.5,5.81,0,31,0
8,37,460,423,0.92,2.31,2,961,0
0,6,52,46,0.885,3.53,0,102,2
93,760,7100,6340,0.893,2.99,15,15255,72
37,475,3922,3447,0.879,3.9,1,7317,30
32,108,1577,1469,0.932,2,8,3246,0
28,246,2256,2010,0.891,2.91,3,5069,6
2,65,557,492,0.883,3.6,1,1084,6
1,3,10,7,0.7,4.39,0,41,0
1,8,78,70,0.897,3.43,0,140,0
45,303,2967,2664,0.898,3.01,6,6034,2
151,1143,10623,9480,0.892,3.07,9,22369,37
286,1635,17983,16348,0.909,2.68,33,36607,40
238,1508,15706,14198,0.904,2.75,39,32892,18
3,16,113,97,0.858,3.72,0,258,2
214,1027,12822,11795,0.92,2.52,31,24448,43
18,183,1658,1475,0.89,3.37,1,3259,10
9,66,716,650,0.908,2.85,1,1391,2
3,18,172,154,0.895,3.3,0,327,0
0,8,62,54,0.871,4.07,0,118,0
129,679,6957,6278,0.902,2.76,13,14767,16
12,153,1481,1328,0.897,3.45,2,2663,10
12,223,142,118,0.831,4.8,1,2785,4
186,1497,14205,12708,0.895,3.05,26,29486,12
275,1216,13447,12231,0.91,2.36,41,30957,168
159,734,7886,7152,0.907,2.31,27,19095,30
0,4,33,29,0.879,3.93,0,61,0
16,103,1085,982,0.905,2.74,4,2256,4
374,2503,24678,22176,0.899,2.98,40,50475,310
134,648,7879,7231,0.918,2.55,18,15227,12
7,31,387,356,0.92,2.3,1,808,0
41,532,286,240,0.839,4.09,5,7806,2
385,2206,19921,17726,0.89,2.98,27,44449,271
0,3,32,29,0.906,3.05,0,59,0
300,1688,20313,18625,0.917,2.55,51,39695,125
28,293,2279,1986,0.871,3.35,4,5253,10
67,524,4739,4215,0.889,3.22,9,9756,90
2,10,81,71,0.877,2.97,0,202,0
204,1287,8543,7516,0.88,3.34,12,23123,52
244,1320,14624,13304,0.91,2.73,22,29020,24
105,903,9262,8359,0.903,2.88,19,18837,18
111,989,5830,5090,0.873,3.74,5,15879,21
0,0,10,10,1,0,0,16,0
60,508,4050,3542,0.875,3.54,4,8600,43
3,57,453,396,0.874,3.67,0,933,2
0,1,14,13,0.929,3.16,0,19,0
225,1917,16675,14758,0.885,3.63,9,31663,182
1,13,141,128,0.908,3.02,0,258,2
0,16,104,88,0.846,4.53,0,212,0
3,16,199,183,0.92,2.3,0,417,0
59,618,4977,4359,0.876,3.94,2,9410,20
0,2,16,14,0.875,3.53,0,34,0
1,12,100,88,0.88,3.89,0,185,0
12,52,599,547,0.913,2.58,1,1208,0
5,25,223,198,0.888,2.89,0,519,0
