L50,P,Z,D,Company,Type
46.2,625,10,0.25,B,1
23.3,720,10,0.25,B,1
43.5,980,11,0.28125,B,1
38.1,980,11,0.28125,B,1
809,600,11,0.3125,B,1
709,600,11,0.3125,B,1
100,900,11,0.3125,B,1
42.2,1220,11,0.3125,B,1
46.6,1220,11,0.3125,B,1
18.9,1370,11,0.3125,B,1
46.5,1415,11,0.3125,B,1
8.06,2243,11,0.3125,B,1
141,720,12,0.3125,B,1
57.2,1300,12,0.3125,B,1
60.6,1300,12,0.3125,B,1
74.4,1650,14,0.34375,B,1
53.7,1760,14,0.34375,B,1
40.7,1760,14,0.34375,B,1
33.3,2010,13,0.40625,B,1
44,2010,13,0.40625,B,1
82.7,2140,13,0.40625,B,1
54.9,2630,15,0.40625,B,1
17.5,5900,14,0.59375,B,1
22.1,5900,14,0.59375,B,1
23.6,8070,14,0.71875,B,1
36.4,8075,14,0.71875,B,1
18.4,565,9,0.21,B,2
56.9,720,8,0.28125,B,2
56.2,720,8,0.28125,B,2
15.6,720,8,0.28125,B,2
29.4,720,8,0.28125,B,2
28.5,720,8,0.28125,B,2
26.4,720,8,0.28125,B,2
48.7,720,8,0.28125,B,2
53.2,720,8,0.28125,B,2
59,860,8,0.3125,B,2
87.6,860,8,0.3125,B,2
92.3,900,9,0.3125,B,2
47.6,900,9,0.3125,B,2
52.8,940,9,0.3125,B,2
65.6,940,9,0.3125,B,2
22.1,1180,9,0.3125,B,2
43.3,1580,9,0.375,B,2
64.6,1580,9,0.375,B,2
34.6,1580,9,0.375,B,2
37.6,2160,9,0.4375,B,2
53.7,2160,9,0.4375,B,2
43.5,2200,9,0.4375,B,2
78.3,2480,9,0.4375,B,2
275,1340,9,0.46875,B,2
234,1660,10,0.4375,B,2
230,1700,9,0.46875,B,2
55.8,2480,9,0.46875,B,2
97.8,2480,9,0.46875,B,2
122,2480,9,0.46875,B,2
42.3,2480,9,0.46875,B,2
145,2480,9,0.46875,B,2
34.7,2480,9,0.46875,B,2
27.8,2480,9,0.46875,B,2
34.3,2480,9,0.46875,B,2
60.3,2480,9,0.46875,B,2
65.8,2480,9,0.46875,B,2
63.1,2480,9,0.46875,B,2
42.1,2480,9,0.46875,B,2
39.9,2480,9,0.46875,B,2
67.8,2480,9,0.46875,B,2
57.7,2480,9,0.46875,B,2
18,2480,9,0.46875,B,2
25.4,2480,9,0.46875,B,2
39.9,2480,9,0.46875,B,2
55.7,2480,9,0.46875,B,2
37.5,2480,9,0.46875,B,2
53.7,2480,9,0.46875,B,2
22.1,2480,9,0.46875,B,2
28.8,2480,9,0.46875,B,2
43.6,2480,9,0.46875,B,2
32.3,2480,9,0.46875,B,2
43,2480,9,0.46875,B,2
40.8,2480,9,0.46875,B,2
25.3,2480,9,0.46875,B,2
41.9,2480,9,0.46875,B,2
45.4,2480,9,0.46875,B,2
49.2,2480,9,0.46875,B,2
73.6,2480,9,0.46875,B,2
37.2,2480,9,0.46875,B,2
40.5,2480,9,0.46875,B,2
53.3,2480,9,0.46875,B,2
61.8,2480,9,0.46875,B,2
66.2,2480,9,0.46875,B,2
71.6,2480,9,0.46875,B,2
104,2480,9,0.46875,B,2
59,2480,9,0.46875,B,2
92.9,2480,9,0.46875,B,2
39.4,2480,9,0.46875,B,2
34.7,2480,9,0.46875,B,2
34.5,2480,9,0.46875,B,2
71.8,2480,9,0.46875,B,2
90.3,2480,9,0.46875,B,2
49.1,2480,9,0.46875,B,2
9.3,3250,9,0.46875,B,2
36.6,3470,10,0.4375,B,2
7.35,4000,9,0.46875,B,2
73.4,2300,10,0.46875,B,2
31.7,2730,10,0.46875,B,2
20.8,2660,10,0.53125,B,2
64.3,2250,11,0.46875,B,2
152,2300,11,0.46875,B,2
42.7,2840,11,0.46875,B,2
66.3,2840,11,0.46875,B,2
39.1,2840,11,0.46875,B,2
50.6,2840,11,0.46875,B,2
33.1,3200,11,0.46875,B,2
13.9,4000,11,0.46875,B,2
23.4,4000,11,0.46875,B,2
22.7,6350,11,0.6875,B,2
9.86,12000,11,1.0625,B,2
9.52,12000,11,1.0625,B,2
39.7,12700,8,1.5,B,2
20.4,16500,11,1.0625,B,2
16.2,16500,11,1.0625,B,2
103,565,7,0.3125,B,3
38.6,900,7,0.3125,B,3
87.6,1650,8,0.40625,B,3
71.2,2250,8,0.46875,B,3
60.4,2300,8,0.46875,B,3
24.1,3200,8,0.46875,B,3
12.9,4000,8,0.46875,B,3
274,1710,8,0.53125,B,3
264,2360,8,0.53125,B,3
60.7,2680,8,0.53125,B,3
62.6,3850,8,0.53125,B,3
43.4,7760,8,0.90625,B,3
40.7,9550,8,1.0625,B,3
79.4,9750,8,1.0625,B,3
43.9,11400,8,1.1875,B,3
16.9,11400,8,1.1875,B,3
34.2,11420,8,1.1875,B,3
64.8,1580,7,0.5625,C,0
729,790,7,0.5625,C,0
287,1185,7,0.5625,C,0
40.1,1600,9,0.5,C,0
66.3,1600,8,0.46875,C,0
58,2275,7,0.53125,C,0
11.3,2540,8,0.46875,C,0
11.5,2540,8,0.46875,C,0
62.2,1580,7,0.5625,C,0
113,1580,7,0.5625,C,0
113,1600,9,0.5,C,0
65.6,610,8,0.3125,C,0
